TIME_PERIOD	TERRITORIO	MEDIDAS	PRODUCTO_AGRICOLA	POSICION_COMERCIAL	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION_CODE	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
06/2021	Canarias	Precio medio ponderado	Plátanos	En origen		No publicable, restringido para uso interno solamente	N	Valor provisional	P
06/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen				Valor provisional	P
06/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen				Valor provisional	P
06/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen				Valor provisional	P
06/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen				Valor provisional	P
05/2021	Canarias	Precio medio ponderado	Plátanos	En origen	0.49	Abierto (libre para publicación)	F	Valor provisional	P
05/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	13.95			Valor provisional	P
05/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-10.9			Valor provisional	P
05/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.06			Valor provisional	P
05/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.06			Valor provisional	P
04/2021	Canarias	Precio medio ponderado	Plátanos	En origen	0.55	Abierto (libre para publicación)	F	Valor provisional	P
04/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	27.91			Valor provisional	P
04/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	17.02			Valor provisional	P
04/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.12			Valor provisional	P
04/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.08			Valor provisional	P
03/2021	Canarias	Precio medio ponderado	Plátanos	En origen	0.47	Abierto (libre para publicación)	F	Valor provisional	P
03/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	30.56			Valor provisional	P
03/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	0.00			Valor provisional	P
03/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.11			Valor provisional	P
03/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.00			Valor provisional	P
02/2021	Canarias	Precio medio ponderado	Plátanos	En origen	0.47	Abierto (libre para publicación)	F	Valor normal	A
02/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	34.29				
02/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-9.62				
02/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.12				
02/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.05				
01/2021	Canarias	Precio medio ponderado	Plátanos	En origen	0.52	Abierto (libre para publicación)	F	Valor normal	A
01/2021	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	26.83				
01/2021	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	26.83				
01/2021	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.11				
01/2021	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.11				
12/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.41	Abierto (libre para publicación)	F	Valor normal	A
12/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-30.51				
12/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-38.81				
12/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.18				
12/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.26				
11/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.67	Abierto (libre para publicación)	F	Valor normal	A
11/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-34.95				
11/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-34.31				
11/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.36				
11/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.35				
10/2020	Canarias	Precio medio ponderado	Plátanos	En origen	1.02	Abierto (libre para publicación)	F	Valor normal	A
10/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-5.56				
10/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	24.39				
10/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.06				
10/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.2				
09/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.82	Abierto (libre para publicación)	F	Valor normal	A
09/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	12.33				
09/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	26.15				
09/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.09				
09/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.17				
08/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.65	Abierto (libre para publicación)	F	Valor normal	A
08/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	80.56				
08/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	14.04				
08/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.29				
08/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.08				
07/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.57	Abierto (libre para publicación)	F	Valor normal	A
07/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	72.73				
07/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	32.56				
07/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.24				
07/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.14				
06/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.43	Abierto (libre para publicación)	F	Valor normal	A
06/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	19.44				
06/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	0				
06/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.07				
06/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0				
05/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.43	Abierto (libre para publicación)	F	Valor normal	A
05/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	10.26				
05/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	0				
05/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.04				
05/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0				
04/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.43	Abierto (libre para publicación)	F	Valor normal	A
04/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	7.5				
04/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	19.44				
04/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.03				
04/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.07				
03/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.36	Abierto (libre para publicación)	F	Valor normal	A
03/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-29.41				
03/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	2.86				
