TIME_PERIOD	TERRITORIO	MEDIDAS	PRODUCTO_AGRICOLA	POSICION_COMERCIAL	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION_CODE	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
03/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.15				
03/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.01				
02/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.35	Abierto (libre para publicación)	F	Valor normal	A
02/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-53.95				
02/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-14.63				
02/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.41				
02/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.06				
01/2020	Canarias	Precio medio ponderado	Plátanos	En origen	0.41	Abierto (libre para publicación)	F	Valor normal	A
01/2020	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-48.1				
01/2020	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-30.51				
01/2020	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.38				
01/2020	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.18				
12/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.59	Abierto (libre para publicación)	F	Valor normal	A
12/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-26.25				
12/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-42.72				
12/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.21				
12/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.44				
11/2019	Canarias	Precio medio ponderado	Plátanos	En origen	1.03	Abierto (libre para publicación)	F	Valor normal	A
11/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	41.1				
11/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-4.63				
11/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.3				
11/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.05				
10/2019	Canarias	Precio medio ponderado	Plátanos	En origen	1.08	Abierto (libre para publicación)	F	Valor normal	A
10/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	40.26				
10/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	47.95				
10/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.31				
10/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.35				
09/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.73	Abierto (libre para publicación)	F	Valor normal	A
09/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-17.05				
09/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	102.78				
09/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.15				
09/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.37				
08/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.36	Abierto (libre para publicación)	F	Valor normal	A
08/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-60				
08/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	9.09				
08/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.54				
08/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.03				
07/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.33	Abierto (libre para publicación)	F	Valor normal	A
07/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-64.13				
07/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-8.33				
07/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.59				
07/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.03				
06/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.36	Abierto (libre para publicación)	F	Valor normal	A
06/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-60.87				
06/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-7.69				
06/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.56				
06/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.03				
05/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.39	Abierto (libre para publicación)	F	Valor normal	A
05/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-51.85				
05/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-2.5				
05/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.42				
05/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.01				
04/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.4	Abierto (libre para publicación)	F	Valor normal	A
04/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-35.48				
04/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-21.57				
04/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.22				
04/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.11				
03/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.51	Abierto (libre para publicación)	F	Valor normal	A
03/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-1.92				
03/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-32.89				
03/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.01				
03/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.25				
02/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.76	Abierto (libre para publicación)	F	Valor normal	A
02/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	85.37				
02/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-3.8				
02/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.35				
02/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.03				
01/2019	Canarias	Precio medio ponderado	Plátanos	En origen	0.79	Abierto (libre para publicación)	F	Valor normal	A
01/2019	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	125.71				
01/2019	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-1.25				
01/2019	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.44				
01/2019	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.01				
12/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.8	Abierto (libre para publicación)	F	Valor normal	A
12/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	135.29				
12/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	9.59				
12/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.46				
12/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.07				
11/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.73	Abierto (libre para publicación)	F	Valor normal	A
11/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	58.7				
11/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-5.19				
11/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.27				
11/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.04				
10/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.77	Abierto (libre para publicación)	F	Valor normal	A
10/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	18.46				
10/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-12.5				
10/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.12				
10/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.11				
09/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.88	Abierto (libre para publicación)	F	Valor normal	A
09/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	69.23				
09/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-2.22				
09/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.36				
09/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.02				
08/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.9	Abierto (libre para publicación)	F	Valor normal	A
08/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	143.24				
08/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-2.17				
08/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.53				
08/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.02				
07/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.92	Abierto (libre para publicación)	F	Valor normal	A
07/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	217.24				
07/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	0				
07/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.63				
07/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0				
06/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.92	Abierto (libre para publicación)	F	Valor normal	A
06/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	196.77				
06/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	13.58				
06/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.61				
06/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.11				
05/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.81	Abierto (libre para publicación)	F	Valor normal	A
05/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	118.92				
05/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	30.65				
05/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.44				
05/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.19				
04/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.62	Abierto (libre para publicación)	F	Valor normal	A
04/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	51.22				
04/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	19.23				
04/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.21				
04/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.1				
03/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.52	Abierto (libre para publicación)	F	Valor normal	A
03/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	1.96				
03/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	26.83				
03/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.01				
03/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.11				
02/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.41	Abierto (libre para publicación)	F	Valor normal	A
02/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-33.87				
02/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	17.14				
02/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.21				
02/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.06				
01/2018	Canarias	Precio medio ponderado	Plátanos	En origen	0.35	Abierto (libre para publicación)	F	Valor normal	A
01/2018	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-42.62				
01/2018	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	2.94				
01/2018	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.26				
01/2018	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.01				
12/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.34	Abierto (libre para publicación)	F	Valor normal	A
12/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-29.17				
12/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-26.09				
12/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.14				
12/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.12				
11/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.46	Abierto (libre para publicación)	F	Valor normal	A
11/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-16.36				
11/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-29.23				
11/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.09				
11/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.19				
10/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.65	Abierto (libre para publicación)	F	Valor normal	A
10/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	30				
10/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	25				
10/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.15				
10/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.13				
09/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.52	Abierto (libre para publicación)	F	Valor normal	A
09/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	40.54				
09/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	40.54				
09/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.15				
09/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.15				
08/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.37	Abierto (libre para publicación)	F	Valor normal	A
08/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	12.12				
08/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	27.59				
08/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.04				
08/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.08				
07/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.29	Abierto (libre para publicación)	F	Valor normal	A
07/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-12.12				
07/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-6.45				
07/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.04				
07/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.02				
06/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.31	Abierto (libre para publicación)	F	Valor normal	A
06/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	-8.82				
06/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-16.22				
06/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	-0.03				
06/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.06				
05/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.37	Abierto (libre para publicación)	F	Valor normal	A
05/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	15.63				
05/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-9.76				
05/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.05				
05/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.04				
04/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.41	Abierto (libre para publicación)	F	Valor normal	A
04/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	24.24				
04/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-19.61				
04/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.08				
04/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.1				
03/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.51	Abierto (libre para publicación)	F	Valor normal	A
03/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	50				
03/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-17.74				
03/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.17				
03/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.11				
02/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.62	Abierto (libre para publicación)	F	Valor normal	A
02/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	72.22				
02/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	1.64				
02/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.26				
02/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.01				
01/2017	Canarias	Precio medio ponderado	Plátanos	En origen	0.61	Abierto (libre para publicación)	F	Valor normal	A
01/2017	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen	64.86				
01/2017	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	27.08				
01/2017	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen	0.24				
01/2017	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.13				
12/2016	Canarias	Precio medio ponderado	Plátanos	En origen	0.48	Abierto (libre para publicación)	F	Valor normal	A
12/2016	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen				Valor no disponible	O
12/2016	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	-12.73				
12/2016	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen				Valor no disponible	O
12/2016	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	-0.07				
11/2016	Canarias	Precio medio ponderado	Plátanos	En origen	0.55	Abierto (libre para publicación)	F	Valor normal	A
11/2016	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen				Valor no disponible	O
11/2016	Canarias	Precio medio ponderado. Tasa de variación interperiódica.	Plátanos	En origen	10				
11/2016	Canarias	Precio medio ponderado. Variación anual.	Plátanos	En origen				Valor no disponible	O
11/2016	Canarias	Precio medio ponderado. Variación interperiódica.	Plátanos	En origen	0.05				
10/2016	Canarias	Precio medio ponderado	Plátanos	En origen	0.5	Abierto (libre para publicación)	F	Valor normal	A
10/2016	Canarias	Precio medio ponderado. Tasa de variación anual.	Plátanos	En origen				Valor no disponible	O
