fecha,pen,extr
2021-06-01,6.944179999999999,0.476
2021-05-01,10.497266,154.746
2021-04-01,17.646596,118.83
2021-03-01,14.773334,143.912
2021-02-01,16.897048,129.19
2021-01-01,13.746796999999999,61.254
2020-12-01,14.58759,59.84
2020-11-01,14.832719,33.42
2020-10-01,14.817226,18.58
2020-09-01,9.189384,3.24
2020-08-01,7.958468000000001,2.7
2020-07-01,7.497125,1.08
2020-06-01,7.8263490000000004,115.188
2020-05-01,11.466742000000002,163.102
2020-04-01,17.942361,121.318
2020-03-01,15.484544000000001,56.15
2020-02-01,15.679877999999999,61.876
2020-01-01,18.471301999999998,90.36
2019-12-01,12.26466,49.48
2019-11-01,12.724724999999998,23.16
2019-10-01,12.0004,32.044
2019-09-01,8.279270999999998,14.322
2019-08-01,8.565709000000002,116.118
2019-07-01,6.558013999999999,70.199
2019-06-01,9.119947,56.623
2019-05-01,15.290039,78.035
2019-04-01,13.113313999999999,80.192
2019-03-01,16.236407,62.092
2019-02-01,13.84118,58.745
2019-01-01,16.250567,77.586
2018-12-01,11.442738,71.574
2018-11-01,13.467058,104.07
2018-10-01,10.373245,41.474
2018-09-01,9.316369,43.824
2018-08-01,7.289745000000001,44.613
2018-07-01,4.919298000000001,22.226
2018-06-01,5.511744,30.852
2018-05-01,10.588652999999999,72.655
2018-04-01,13.018644,80.775
2018-03-01,19.928082999999997,55.413
2018-02-01,16.40467,111.816
2018-01-01,15.194582,119.381
2017-12-01,13.014249,180.431
2017-11-01,19.233535999999997,47.755
2017-10-01,12.50495,49.095
2017-09-01,10.816468,40.797
2017-08-01,10.528218999999998,68.598
2017-07-01,6.290682,80.035
2017-06-01,11.509955,85.671
2017-05-01,13.879435000000003,31.482
2017-04-01,13.855058000000001,28.449
2017-03-01,19.265914,14.265
2017-02-01,14.825857000000001,2.727
2017-01-01,13.267425,0
2016-12-01,17.262729999999994,0
2016-11-01,13.127096,0
2016-10-01,11.450104000000001,0
2016-09-01,13.3385,0
2016-08-01,7.695708,0
2016-07-01,6.541893000000001,0
2016-06-01,11.565690000000002,0
2016-05-01,12.706196,0
2016-04-01,15.755709000000001,0
2016-03-01,19.430785,0
2016-02-01,15.41489,0
2016-01-01,14.109096000000001,0
